Category,Column1,_1,_2,_3,_4,User_query,Chatbot_response 
1,ความรู้เกี่ยวกับคอมพิวเตอร์และสารสนเทศ,,,,,,
,1.1,หลักการทำงานของคอมพิวเตอร์,,,,หลักการทำงานของคอมพิวเตอร์คืออะไร,คอมพิวเตอร์ทำงานตามวงจร Input → Process → Output → Storage โดยมี CPU เป็นหน่วยประมวลผลกลาง
,,1.1.1,ความหมายของคอมพิวเตอร์,,,คอมพิวเตอร์คืออะไร,คอมพิวเตอร์คืออุปกรณ์อิเล็กทรอนิกส์ที่สามารถรับข้อมูล ประมวลผล และแสดงผลลัพธ์ตามโปรแกรมที่กำหนดได้
,,1.1.2,หน่วยองค์ประกอบของระบบคอมพิวเตอร์,,,ระบบคอมพิวเตอร์ประกอบด้วยหน่วยอะไรบ้าง,ระบบคอมพิวเตอร์ประกอบด้วย หน่วยรับข้อมูล หน่วยประมวลผล หน่วยความจำ หน่วยแสดงผล
,1.2,การแบ่งประเภทของคอมพิวเตอร์,,,,,
,,1.2.1,แบ่งตามลักษณะการใช้งาน,,,คอมพิวเตอร์แบ่งตามการใช้งานได้อย่างไร,"คอมพิวเตอร์สามารถแบ่งตามลักษณะการใช้งานได้ เช่น ส่วนบุคคล, ธุรกิจ, วิทยาศาสตร์, และงานเฉพาะทาง"
,,,1.2.1.1,คอมพิวเตอร์ใช้งานทั่วไป,,คอมพิวเตอร์ใช้งานทั่วไปคืออะไร,คอมพิวเตอร์ใช้งานทั่วไปคือเครื่องที่ใช้ในชีวิตประจำวัน เช่น คอมพิวเตอร์ตั้งโต๊ะ โน้ตบุ๊ก สำหรับงานเอกสาร เล่นอินเทอร์เน็ต และความบันเทิง
,,,1.2.1.2,คอมพิวเตอร์ใช้งานเฉพาะด้าน,,คอมพิวเตอร์ใช้งานเฉพาะด้านคืออะไร,คอมพิวเตอร์ใช้งานเฉพาะด้านถูกออกแบบมาเพื่อทำงานเฉพาะ เช่น เครื่องควบคุมการบิน เครื่องมือแพทย์ หรือระบบอุตสาหกรรม
,,1.2.2,แบ่งตามความสามารถในการเก็บข้อมูลและความเร็วในการประมวลผล,,,คอมพิวเตอร์แบ่งตามความสามารถในการเก็บข้อมูลและความเร็วได้อย่างไร,"สามารถแบ่งออกเป็น 4 ประเภทหลัก ได้แก่ Supercomputer, Mainframe, Minicomputer, และ Microcomputer"
,,,1.2.2.1,ซุปเปอร์คอมพิวเตอร์,,ซุปเปอร์คอมพิวเตอร์คืออะไร,ซุปเปอร์คอมพิวเตอร์คือคอมพิวเตอร์ที่มีความเร็วสูงมาก ใช้สำหรับงานวิจัยทางวิทยาศาสตร์ การคำนวณเชิงซับซ้อน และการจำลองสถานการณ์
,,,1.2.2.2,เมนเฟรมคอมพิวเตอร์,,เมนเฟรมคอมพิวเตอร์คืออะไร,เมนเฟรมคอมพิวเตอร์คือเครื่องขนาดใหญ่ที่รองรับการทำงานพร้อมกันของผู้ใช้จำนวนมาก เหมาะกับองค์กรหรือธนาคาร
,,,1.2.2.3,มินิคอมพิวเตอร์,,มินิคอมพิวเตอร์คืออะไร,มินิคอมพิวเตอร์มีขนาดเล็กกว่าเมนเฟรม แต่สามารถรองรับงานหลายผู้ใช้ ใช้ในองค์กรขนาดกลาง
,,,1.2.2.4,ไมโครคอมพิวเตอร์,,ไมโครคอมพิวเตอร์คืออะไร,ไมโครคอมพิวเตอร์คือคอมพิวเตอร์ส่วนบุคคล เช่น PC และ Laptop ที่ใช้ทั่วไป
,1.3,ปัจจัยในการใช้งานคอมพิวเตอร์,,,,,
,,1.3.1,ฮาร์ดแวร์,,,,
,,,1.3.1.1,ความหมายของฮาร์ดแวร์,,ฮาร์ดแวร์คืออะไร,"ฮาร์ดแวร์คือส่วนประกอบที่เป็นอุปกรณ์จับต้องได้ของคอมพิวเตอร์ เช่น CPU, RAM, Hard Disk"
,,,1.3.1.2,อุปกรณ์ภายในตัวเครื่อง,,อุปกรณ์ภายในคอมพิวเตอร์มีอะไรบ้าง,"อุปกรณ์ภายในประกอบด้วย CPU, RAM, Mainboard, Hard Disk, Power Supply"
,,,1.3.1.3,อุปกรณ์อินพุต,,อุปกรณ์อินพุตคืออะไร,อุปกรณ์อินพุตคืออุปกรณ์ที่ใช้ป้อนข้อมูลเข้าสู่คอมพิวเตอร์ เช่น แป้นพิมพ์ เมาส์ สแกนเนอร์
,,,1.3.1.4,อุปกรณ์เอาท์พุต,,อุปกรณ์เอาท์พุตคืออะไร,อุปกรณ์เอาท์พุตคืออุปกรณ์ที่ใช้แสดงผลข้อมูล เช่น จอภาพ เครื่องพิมพ์
,,,1.3.1.5,อุปกรณ์บันทึกข้อมูล,,อุปกรณ์บันทึกข้อมูลคืออะไร,อุปกรณ์บันทึกข้อมูลคืออุปกรณ์ที่ใช้เก็บข้อมูล เช่น ฮาร์ดดิสก์ แฟลชไดรฟ์ ซีดี
,,,1.3.1.6,อุปกรณ์เสริมการใช้งาน,,อุปกรณ์เสริมการใช้งานมีอะไรบ้าง,อุปกรณ์เสริม เช่น การ์ดจอ หูฟัง ลำโพง เว็บแคม
,,1.3.2,ซอฟต์แวร์,,,,
,,,1.3.2.1,ความหมายของซอฟต์แวร์,,ซอฟต์แวร์คืออะไร,ซอฟต์แวร์คือชุดคำสั่งหรือโปรแกรมที่ทำให้คอมพิวเตอร์สามารถทำงานตามที่ผู้ใช้ต้องการ
,,,1.3.2.2,ซอฟต์แวร์ระบบ,,ซอฟต์แวร์ระบบคืออะไร,ซอฟต์แวร์ระบบคือโปรแกรมที่ช่วยควบคุมและจัดการการทำงานของฮาร์ดแวร์ เช่น ระบบปฏิบัติการ
,,,,1.3.2.2.1,ระบบปฏิบัติการ (OS),ระบบปฏิบัติการทำหน้าที่อะไร,ระบบปฏิบัติการทำหน้าที่เป็นตัวกลางระหว่างผู้ใช้กับฮาร์ดแวร์ ควบคุมการทำงานของเครื่อง
,,,,1.3.2.2.2,โปรแกรมอรรถประโยชน์,โปรแกรมอรรถประโยชน์คืออะไร,โปรแกรมอรรถประโยชน์คือโปรแกรมที่ช่วยดูแลและบำรุงรักษาระบบ เช่น โปรแกรมสแกนไวรัส โปรแกรมจัดการไฟล์
,,,1.3.2.3,ซอฟต์แวร์ประยุกต์,,ซอฟต์แวร์ประยุกต์คืออะไร,"ซอฟต์แวร์ประยุกต์คือโปรแกรมที่ใช้ทำงานเฉพาะด้าน เช่น Word, Excel, Photoshop"
,,,,1.3.2.3.1,ซอฟต์แวร์ประยุกต์ทั่วไป,ซอฟต์แวร์ประยุกต์ทั่วไปมีอะไรบ้าง,เช่น โปรแกรมสำนักงาน โปรแกรมเล่นสื่อมัลติมีเดีย โปรแกรมเว็บเบราว์เซอร์
,,,,1.3.2.3.2,ซอฟต์แวร์ประยุกต์เฉพาะงาน,ซอฟต์แวร์ประยุกต์เฉพาะงานคืออะไร,คือโปรแกรมที่ออกแบบมาเพื่อใช้งานเฉพาะ เช่น โปรแกรมบัญชี โปรแกรมออกแบบวิศวกรรม
,,1.3.3,พีเพิลแวร์,,,,
,,,1.3.3.1,ความหมายของพีเพิลแวร์,,พีเพิลแวร์คืออะไร,พีเพิลแวร์หมายถึงบุคคลที่เกี่ยวข้องกับการใช้และพัฒนาระบบคอมพิวเตอร์
,,,1.3.3.2,นักวิเคราะห์ระบบ,,นักวิเคราะห์ระบบทำหน้าที่อะไร,นักวิเคราะห์ระบบทำหน้าที่ออกแบบและวิเคราะห์ความต้องการของระบบ เพื่อให้ตรงกับการใช้งานจริง
,,,1.3.3.3,โปรแกรมเมอร์,,โปรแกรมเมอร์คือใคร,โปรแกรมเมอร์คือผู้เขียนโปรแกรมหรือซอฟต์แวร์ให้คอมพิวเตอร์ทำงานตามที่กำหนด
,,,1.3.3.4,ผู้ดูแลระบบ,,ผู้ดูแลระบบคือใคร,ผู้ดูแลระบบคือผู้ที่จัดการ ดูแล และแก้ไขปัญหาของระบบคอมพิวเตอร์และเครือข่าย
,,,1.3.3.5,ช่างเทคนิคคอมพิวเตอร์,,ช่างเทคนิคคอมพิวเตอร์ทำหน้าที่อะไร,ช่างเทคนิคคอมพิวเตอร์ทำหน้าที่ซ่อมบำรุง ตรวจสอบ และแก้ไขปัญหาฮาร์ดแวร์
,,,1.3.3.6,ผู้ใช้งานทั่วไป,,ผู้ใช้งานทั่วไปคือใคร,ผู้ใช้งานทั่วไปคือบุคคลที่ใช้คอมพิวเตอร์เพื่อทำงาน เรียน หรือความบันเทิง โดยไม่จำเป็นต้องมีความรู้เชิงลึกทางเทคนิค
,1.4,ความรู้พื้นฐานในการใช้งานคอมพิวเตอร์,,,,,
,,1.4.1,การติดตั้งและการบำรุงรักษาเครื่องคอมพิวเตอร์,,,ทำไมการบำรุงรักษาคอมพิวเตอร์จึงสำคัญ,เพราะช่วยยืดอายุการใช้งาน ลดปัญหาการทำงานผิดพลาด และเพิ่มความปลอดภัยของข้อมูล
,,,1.4.1.1,การติดตั้งเครื่องคอมพิวเตอร์,,ขั้นตอนการติดตั้งเครื่องคอมพิวเตอร์ทำอย่างไร,การติดตั้งเครื่องคอมพิวเตอร์เริ่มจากการวางอุปกรณ์ในตำแหน่งที่เหมาะสม ต่อสายไฟ สายจอภาพ เมาส์ และคีย์บอร์ด จากนั้นเปิดเครื่องและตรวจสอบการทำงาน
,,,1.4.1.2,การใช้งานและการบำรุงรักษาเครื่อง,,การบำรุงรักษาเครื่องคอมพิวเตอร์ทำอย่างไร,การบำรุงรักษาเครื่องคอมพิวเตอร์ทำได้โดยการทำความสะอาดอุปกรณ์ภายนอก ตรวจสอบซอฟต์แวร์ป้องกันไวรัส และอัปเดตระบบปฏิบัติการอย่างสม่ำเสมอ
,,1.4.2,การสร้างความปลอดภัยต่อสุขภาพในการใช้งานคอมพิวเตอร์,,,จะป้องกันอาการปวดตาจากการใช้คอมพิวเตอร์ได้อย่างไร,ใช้กฎ 20-20-20 คือ ทุก 20 นาที มองออกไปไกล 20 ฟุต เป็นเวลา 20 วินาที
,,,1.4.2.1,ท่านั่งทำงานกับคอมพิวเตอร์,,ควรนั่งทำงานกับคอมพิวเตอร์อย่างไร,ควรนั่งหลังตรง ปรับเก้าอี้ให้ระดับสายตาอยู่ตรงกับจอภาพ และวางแขนบนโต๊ะอย่างสบาย
,,,1.4.2.2,แสงสว่างในการใช้งานคอมพิวเตอร์,,แสงสว่างที่เหมาะสมในการใช้งานคอมพิวเตอร์เป็นอย่างไร,ควรใช้แสงสว่างที่พอเหมาะ ไม่มืดเกินไปและไม่สว่างจ้าเกินไป โดยควรหลีกเลี่ยงแสงสะท้อนจากหน้าจอ
,,,1.4.2.3,ความสว่างของจอมอนิเตอร์,,ควรปรับความสว่างของจอมอนิเตอร์อย่างไร,ควรปรับความสว่างให้พอดีกับสภาพแวดล้อม ไม่มืดจนมองยาก และไม่สว่างจนทำให้ตาล้า
,1.5,อุปกรณ์ต่อพ่วง,,,,,
,,1.5.1,เครื่องพิมพ์,,,เครื่องพิมพ์คืออะไร,เครื่องพิมพ์คืออุปกรณ์ต่อพ่วงคอมพิวเตอร์ที่ใช้ในการพิมพ์ข้อมูลจากคอมพิวเตอร์ออกมาเป็นเอกสารหรือภาพบนกระดาษ
,,,1.5.1.1,เครื่องพิมพ์ดอตเมตริกซ์,,เครื่องพิมพ์ดอตเมตริกซ์คืออะไร,เครื่องพิมพ์ดอตเมตริกซ์คือเครื่องพิมพ์ที่ใช้หัวเข็มกระแทกผ่านหมึกลงบนกระดาษ นิยมใช้ในงานที่ต้องการสำเนาหลายชุด
,,,1.5.1.2,เครื่องพิมพ์เลเซอร์,,เครื่องพิมพ์เลเซอร์ทำงานอย่างไร,เครื่องพิมพ์เลเซอร์ใช้แสงเลเซอร์สร้างภาพบนดรัม แล้วใช้ผงหมึกยึดติดกับกระดาษ พิมพ์ได้รวดเร็วและคมชัด
,,,1.5.1.3,เครื่องพิมพ์อิงก์เจ็ต,,เครื่องพิมพ์อิงก์เจ็ตคืออะไร,เครื่องพิมพ์อิงก์เจ็ตคือเครื่องพิมพ์ที่พ่นหมึกลงบนกระดาษโดยตรง เหมาะกับงานพิมพ์ภาพสีคุณภาพสูง
,,1.5.2,เครื่องสแกนภาพ,,,เครื่องสแกนภาพคืออะไร,เครื่องสแกนภาพคืออุปกรณ์ที่ใช้แปลงเอกสารหรือรูปภาพจากรูปแบบกระดาษให้เป็นข้อมูลดิจิทัล เพื่อจัดเก็บหรือแก้ไขในคอมพิวเตอร์
,,,1.5.2.1,ลักษณะการทำงานของเครื่องสแกนภาพ,,เครื่องสแกนภาพทำงานอย่างไร,เครื่องสแกนภาพทำงานโดยใช้แสงส่องผ่านเอกสารแล้วแปลงเป็นข้อมูลดิจิทัลเพื่อเก็บในคอมพิวเตอร์
,,1.5.3,เครื่องอ่านบาร์โค้ด,,,เครื่องอ่านบาร์โค้ดคืออะไร,เครื่องอ่านบาร์โค้ดคืออุปกรณ์ที่ใช้ในการอ่านข้อมูลจากบาร์โค้ด โดยแปลงเส้นและช่องว่างเป็นข้อมูลดิจิทัลเพื่อส่งต่อไปยังคอมพิวเตอร์หรือระบบฐานข้อมูล
,,,1.5.3.1,ลักษณะการทำงานของเครื่องอ่านบาร์โค้ด,,เครื่องอ่านบาร์โค้ดทำงานอย่างไร,เครื่องอ่านบาร์โค้ดใช้แสงเลเซอร์หรือกล้องอ่านลายเส้นบาร์โค้ด แล้วแปลงเป็นข้อมูลตัวเลขหรือข้อความ
,,1.5.4,ไมโครโฟน,,,ไมโครโฟนคืออะไร,ไมโครโฟนคืออุปกรณ์ที่ใช้รับเสียงจากผู้พูดหรือสิ่งแวดล้อม แล้วแปลงเป็นสัญญาณไฟฟ้าเพื่อส่งต่อไปยังคอมพิวเตอร์หรือเครื่องเสียง
,,,1.5.4.1,ไมโครโฟนแบบไดนามิก,,ไมโครโฟนไดนามิกคืออะไร,ไมโครโฟนไดนามิกใช้หลักการเหนี่ยวนำแม่เหล็กไฟฟ้า แข็งแรง ทนทาน เหมาะกับการใช้งานทั่วไป
,,,1.5.4.2,ไมโครโฟนแบบคอนเด็นเซอร์,,ไมโครโฟนคอนเด็นเซอร์คืออะไร,ไมโครโฟนคอนเด็นเซอร์ใช้แผ่นไดอะแฟรมและตัวเก็บประจุในการรับเสียง ให้คุณภาพเสียงละเอียด เหมาะกับงานบันทึกเสียง
,,1.5.5,กล้องดิจิทัล และเว็บแคม,,,"กล้องดิจิทัลคืออะไร

เว็บแคมคืออะไร","กล้องดิจิทัลคืออุปกรณ์ที่ใช้บันทึกภาพนิ่งหรือวิดีโอในรูปแบบดิจิทัล สามารถจัดเก็บในหน่วยความจำและนำไปแก้ไขหรือส่งต่อได้

เว็บแคมคือกล้องขนาดเล็กที่เชื่อมต่อกับคอมพิวเตอร์ ใช้สำหรับการถ่ายทอดสดภาพหรือวิดีโอ เช่น การประชุมออนไลน์หรือการสตรีม"
,,,1.5.5.1,ลักษณะการทำงานของกล้องดิจิทัล,,กล้องดิจิทัลทำงานอย่างไร,กล้องดิจิทัลบันทึกภาพโดยใช้เซ็นเซอร์รับแสงแล้วแปลงเป็นข้อมูลดิจิทัล เก็บในหน่วยความจำ
,,,1.5.5.2,ลักษณะการทำงานของกล้องเว็บแคม,,กล้องเว็บแคมทำงานอย่างไร,เว็บแคมคือกล้องที่เชื่อมต่อกับคอมพิวเตอร์เพื่อถ่ายทอดภาพแบบเรียลไทม์ ใช้ในการประชุมออนไลน์หรือสตรีมมิ่ง
,1.6,อุปกรณ์เคลื่อนที่,,,,,
,,1.6.1,ระบบปฏิบัติการในอุปกรณ์เคลื่อนที่,,,ระบบปฏิบัติการในอุปกรณ์เคลื่อนที่,ระบบปฏิบัติการในอุปกรณ์เคลื่อนที่คือซอฟต์แวร์ที่ควบคุมการทำงานของสมาร์ทโฟนและแท็บเล็ต เช่น Android และ iOS
,,,1.6.1.1,ระบบปฏิบัติการ ios,,ระบบปฏิบัติการ iOS คืออะไร,iOS คือระบบปฏิบัติการที่ใช้ในอุปกรณ์ของ Apple เช่น iPhone และ iPad มีความปลอดภัยสูงและใช้งานง่าย
,,,1.6.1.2,ระบบปฏิบัติการ android,,ระบบปฏิบัติการ Android คืออะไร,Android คือระบบปฏิบัติการที่พัฒนาโดย Google ใช้ในสมาร์ทโฟนและแท็บเล็ตหลายยี่ห้อ มีความยืดหยุ่นสูง
,,,1.6.1.3,แอปพลิเคชั่นบนระบบปฏิบัติการในอุปกรณ์เคลื่อนที่ ios,,แอปพลิเคชันบน iOS มีลักษณะอย่างไร,แอปพลิเคชันบน iOS ต้องดาวน์โหลดจาก App Store และผ่านการตรวจสอบความปลอดภัยจาก Apple
,,,1.6.1.4,แอปพลิเคชั่นบนระบบปฏิบัติการในอุปกรณ์เคลื่อนที่ android,,แอปพลิเคชันบน Android มีลักษณะอย่างไร,แอปพลิเคชันบน Android สามารถดาวน์โหลดจาก Google Play Store หรือแหล่งอื่น ๆ มีความหลากหลายสูง
,1.7,ข้อมูลและสารสนเทศ,,,,,
,,1.7.1,ข้อมูล,,,ข้อมูลคืออะไร,ข้อมูลคือข้อเท็จจริง ตัวเลข หรือข้อความที่ยังไม่ได้ผ่านการประมวลผล เช่น คะแนนสอบ รายชื่อ หรือจำนวนสินค้า
,,,1.7.1.1,ชนิดของข้อมูล,,ข้อมูลมีชนิดอะไรบ้าง,ข้อมูลแบ่งเป็น ข้อมูลตัวเลข ข้อมูลข้อความ ข้อมูลภาพ และข้อมูลเสียง
,,1.7.2,สารสนเทศ,,,สารสนเทศคืออะไร,
,,,1.7.2.1,กระบวนการของสารสนเทศ,,กระบวนการสร้างสารสนเทศคืออะไร,กระบวนการสร้างสารสนเทศเริ่มจากการเก็บข้อมูล → ประมวลผล → จัดเก็บ → นำเสนอ
,,1.7.3,ส่วนประกอบของเทคโนโลยีสารสนเทศ,,,ส่วนประกอบของเทคโนโลยีสารสนเทศมีอะไรบ้าง,"เทคโนโลยีสารสนเทศประกอบด้วย ฮาร์ดแวร์ (Hardware), ซอฟต์แวร์ (Software), ข้อมูล (Data), บุคลากร (Peopleware), และกระบวนการ (Process)"
,,,1.7.3.1,เทคโนโลยีด้านคอมพิวเตอร์,,เทคโนโลยีด้านคอมพิวเตอร์คืออะไร,เทคโนโลยีด้านคอมพิวเตอร์คือการพัฒนาอุปกรณ์และซอฟต์แวร์เพื่อช่วยในการประมวลผลและจัดการข้อมูล
,,,1.7.3.2,เทคโนโลยีด้านการสื่อสารและโทรคมนาคม,,เทคโนโลยีด้านการสื่อสารคืออะไร,เทคโนโลยีด้านการสื่อสารและโทรคมนาคมคือการใช้เครือข่ายและอุปกรณ์เพื่อส่งข้อมูล เช่น อินเทอร์เน็ต โทรศัพท์มือถือ
2,ระบบปฏิบัติการ,,,,,,
,2.1,ความรู้เกี่ยวกับระบบปฏิบัติการ,,,,,
,,2.1.1,ความหมายของระบบปฏิบัติการ,,,ระบบปฏิบัติการคืออะไร,ระบบปฏิบัติการคือซอฟต์แวร์ที่ทำหน้าที่ควบคุมการทำงานของฮาร์ดแวร์และเป็นตัวกลางระหว่างผู้ใช้กับเครื่องคอมพิวเตอร์
,,,2.1.1.1,ความหมายของซอฟต์แวร์ระบบ,,ซอฟต์แวร์ระบบคืออะไร,ซอฟต์แวร์ระบบคือโปรแกรมที่ช่วยจัดการและควบคุมการทำงานของคอมพิวเตอร์ เช่น ระบบปฏิบัติการ
,,,2.1.1.2,ความหมายของซอฟต์แวร์ประยุกต์,,ซอฟต์แวร์ประยุกต์คืออะไร,"ซอฟต์แวร์ประยุกต์คือโปรแกรมที่ใช้ทำงานเฉพาะด้าน เช่น Word, Excel, Photoshop"
,,2.1.2,ความสำคัญของระบบปฏิบัติการ,,,,
,,,2.1.2.1,ความสำคัญส่วนเชื่อมต่อผู้ใช้งาน,,ระบบปฏิบัติการสำคัญต่อผู้ใช้อย่างไร,ระบบปฏิบัติการทำหน้าที่เป็นส่วนเชื่อมต่อระหว่างผู้ใช้กับเครื่องคอมพิวเตอร์ ทำให้ใช้งานได้ง่าย
,,,2.1.2.2,ความสำคัญต่อการติดตั้งซอฟต์แวร์ประยุกต์,,ทำไมระบบปฏิบัติการจึงสำคัญต่อการติดตั้งโปรแกรม,เพราะระบบปฏิบัติการเป็นตัวจัดการและรองรับการทำงานของซอฟต์แวร์ประยุกต์
,,,2.1.2.3,ความสำคัญต่อการจัดการไฟล์และโฟลเดอร์,,ระบบปฏิบัติการช่วยจัดการไฟล์อย่างไร,ระบบปฏิบัติการช่วยสร้าง ลบ ย้าย และจัดการไฟล์หรือโฟลเดอร์ได้สะดวก
,,,2.1.2.4,ความสำคัญต่อการจัดสรรทรัพยากรในระบบ,,ระบบปฏิบัติการจัดสรรทรัพยากรอย่างไร,ระบบปฏิบัติการจัดสรรหน่วยความจำ ซีพียู และอุปกรณ์ต่าง ๆ ให้โปรแกรมใช้งานอย่างเหมาะสม
,,2.1.3,ประเภทของระบบปฏิบัติการ,,,,
,,,2.1.3.1,แบ่งตามลักษณะการใช้งาน,,,
,,,,2.1.3.1.1,ระบบปฏิบัติการบนเครื่องคอมพิวเตอร์ส่วนบุคคล,ระบบปฏิบัติการบน PC มีอะไรบ้าง,"เช่น Windows, macOS, Linux"
,,,,2.1.3.1.2,ระบบปฏิบัติการบนเครื่องแม่ข่าย,ระบบปฏิบัติการบนเครื่องแม่ข่ายคืออะไร,"คือระบบที่ใช้จัดการเซิร์ฟเวอร์ เช่น Windows Server, Unix"
,,,,2.1.3.1.3,ระบบปฏิบัติการบนเครื่องแท็บเล็ตและสมาร์ทโฟน,ระบบปฏิบัติการบนมือถือมีอะไรบ้าง,เช่น iOS และ Android
,,,2.1.3.2,แบ่งตามการเสียค่าใช้จ่าย,,,
,,,,2.1.3.2.1,ระบบปฏิบัติการแบบโอเพนซอร์ซ,ระบบปฏิบัติการโอเพนซอร์ซคืออะไร,คือระบบที่เปิดให้ผู้ใช้แก้ไขและพัฒนาได้ เช่น Linux
,,,,2.1.3.2.2,ระบบปฏิบัติการที่มีค่าลิขสิทธิ์,ระบบปฏิบัติการที่มีค่าลิขสิทธิ์คืออะไร,คือระบบที่ต้องซื้อสิทธิ์ใช้งาน เช่น Windows และ macOS
,2.2,ระบบปฏิบัตการไมโครซอฟต์วินโดวส์,,,,,
,,2.2.1,รุ่นการจัดจำหน่ายของวินโดวส์,,,,
,,,2.2.1.1,Windows Home,,Windows Home คืออะไร,Windows Home เป็นรุ่นสำหรับผู้ใช้ทั่วไป เน้นการใช้งานพื้นฐาน เช่น งานเอกสารและความบันเทิง
,,,2.2.1.2,Windows Pro,,Windows Pro แตกต่างจาก Home อย่างไร,Windows Pro มีฟีเจอร์ด้านความปลอดภัยและการจัดการระบบที่เหมาะกับองค์กร
,,2.2.2,รูปแบบลิขสิทธิ์ของวินโดวส์,,,,
,,,2.2.2.1,รูปแบบ OEM,,ลิขสิทธิ์ Windows แบบ OEM คืออะไร,OEM คือสิทธิ์ที่ติดมากับเครื่องคอมพิวเตอร์ใหม่ ไม่สามารถโอนย้ายไปเครื่องอื่นได้
,,,2.2.2.2,รูปแบบ FPP,,ลิขสิทธิ์ Windows แบบ OEM คืออะไร,OEM คือสิทธิ์ที่ติดมากับเครื่องคอมพิวเตอร์ใหม่ ไม่สามารถโอนย้ายไปเครื่องอื่นได้
,,,2.2.2.3,รูปแบบ VL,,ลิขสิทธิ์ Windows แบบ VL คืออะไร,VL (Volume License) คือสิทธิ์ที่ใช้ในองค์กร สามารถติดตั้งได้หลายเครื่องตามจำนวนที่ซื้อ
,,2.2.3,ความต้องการทางฮาร์ดแวร์สำหรับวินโดวส์,,,,
,,,2.2.3.1,ความต้องการทางฮาร์ดแวร์สำหรับวินโดวส์ 10,,,
,,,,2.2.3.1.1,ซีพียูสำหรับวินโดวส์ 10,Windows 10 ต้องใช้ CPU แบบไหน,Windows 10 ต้องการ CPU ความเร็วขั้นต่ำ 1 GHz หรือสูงกว่า
,,,,2.2.3.1.2,ความถี่สำหรับวินโดวส์ 10,ความถี่ CPU ที่รองรับ Windows 10 คือเท่าไร,ต้องมีความถี่ขั้นต่ำ 1 GHz ขึ้นไป
,,,,2.2.3.1.3,หน่วยความจำสำหรับวินโดวส์ 10,RAM ที่ Windows 10 ต้องการคือเท่าไร,Windows 10 ต้องการ RAM อย่างน้อย 1 GB สำหรับ 32-bit และ 2 GB สำหรับ 64-bit
,,,,2.2.3.1.4,พื้นที่ว่างในฮาร์ดดิสก์สำหรับวินโดวส์ 10,Windows 10 ต้องใช้พื้นที่ว่างเท่าไร,ต้องการพื้นที่ว่างในฮาร์ดดิสก์อย่างน้อย 16 GB สำหรับ 32-bit และ 20 GB สำหรับ 64-bit
,,,2.2.3.2,ความต้องการทางฮาร์ดแวร์สำหรับวินโดวส์ 11,,,
,,,,2.2.3.2.1,ซีพียูสำหรับวินโดวส์ 11,Windows 11 ต้องใช้ CPU แบบไหน,Windows 11 ต้องใช้ CPU 64-bit ที่มีความเร็ว 1 GHz ขึ้นไป และมี 2 คอร์ขึ้นไป
,,,,2.2.3.2.2,ความถี่สำหรับวินโดวส์ 11,ความถี่ CPU ที่รองรับ Windows 11 คือเท่าไร,ต้องมีความถี่ขั้นต่ำ 1 GHz ขึ้นไป
,,,,2.2.3.2.3,แกนประมวลผลสำหรับวินโดวส์ 11,Windows 11 ต้องการ CPU กี่คอร์,ต้องการ CPU อย่างน้อย 2 คอร์
,,,,2.2.3.2.4,หน่วยความจำสำหรับวินโดวส์ 11,RAM ที่ Windows 11 ต้องการคือเท่าไร,Windows 11 ต้องการ RAM อย่างน้อย 4 GB
,,,,2.2.3.2.5,TPM สำหรับวินโดวส์ 11,TPM ที่ Windows 11 ต้องการคืออะไร,TPM 2.0 เป็นชิปที่ช่วยเพิ่มความปลอดภัยในการเข้ารหัสและตรวจสอบระบบ
,,,,2.2.3.2.6,ไบออสสำหรับวินโดวส์ 11,BIOS ที่ Windows 11 ต้องการคือแบบไหน,ต้องการ BIOS ที่รองรับ UEFI และ Secure Boot
,2.3,หน้าจอหลักของระบบปฏิบัติการวินโดวส์,,,,,
,,2.3.1,ส่วนประกอบในหน้าจอหลัก,,,,
,,,2.3.1.1,เดสก์ท็อป,,เดสก์ท็อปคืออะไร,เดสก์ท็อปคือพื้นที่หลักบนหน้าจอที่แสดงไอคอนและโปรแกรมต่าง ๆ
