Category,Column1,_1,_2,_3,_4,User_query,Chatbot_response 
,,,2.3.1.2,ไอคอนหลักในหน้าจอหลัก,,,
,,,,2.3.1.2.1,ไอคอนผู้ใช้งาน,ไอคอนผู้ใช้งานคืออะไร,ไอคอนผู้ใช้งานแสดงข้อมูลบัญชีผู้ใช้ที่เข้าสู่ระบบ
,,,,2.3.1.2.2,ไอคอนคอมพิวเตอร์,ไอคอนคอมพิวเตอร์ทำหน้าที่อะไร,ใช้เข้าถึงข้อมูลและไดรฟ์ต่าง ๆ ในเครื่อง
,,,,2.3.1.2.3,ไอคอนถังขยะ,ไอคอนถังขยะคืออะไร,ใช้เก็บไฟล์ที่ถูกลบชั่วคราว สามารถกู้คืนหรือลบถาวรได้
,,,2.3.1.3,ปุ่มสตาร์ท,,ปุ่ม Start ทำหน้าที่อะไร,ใช้เปิดเมนูหลักเพื่อเข้าถึงโปรแกรมและการตั้งค่าต่าง ๆ
,,,2.3.1.4,แถบโปรแกรมด่วน,,แถบโปรแกรมด่วนคืออะไร,ใช้สำหรับเปิดโปรแกรมที่ใช้งานบ่อยได้อย่างรวดเร็ว
,,,2.3.1.5,แถบงาน,,แถบงานคืออะไร,แถบงานแสดงโปรแกรมที่กำลังทำงานและช่วยสลับการใช้งานได้ง่าย
,,,2.3.1.6,แถบระบบ,,แถบระบบคืออะไร,แถบระบบแสดงสถานะต่าง ๆ เช่น เวลา เสียง และการเชื่อมต่อเครือข่าย
,,,2.3.1.7,ตัวชี้เม้าส์,,ตัวชี้เมาส์คืออะไร,ตัวชี้เมาส์คือสัญลักษณ์ที่ใช้บอกตำแหน่งการทำงานบนหน้าจอ
,,2.3.2,การตรวจสอบรุ่นของระบบปฏิบัติการวินโดวส์ที่ใช้งาน,,,จะตรวจสอบรุ่นของ Windows ที่ใช้งานได้อย่างไร,สามารถตรวจสอบได้โดยคลิกขวาที่ไอคอน This PC บน Des
,,,2.3.2.1,ขั้นตอนการตรวจสอบผ่านไอคอน This PC บน Desktop,,ขั้นตอนการตรวจสอบรุ่น Windows ผ่าน This PC ทำอย่างไร,คลิกขวาที่ไอคอน This PC → เลือก Properties → จะเห็นข้อมูลรุ่น Windows ที่ใช้งาน
,,,2.3.2.2,รายละเอียดที่แสดง,,เมื่อเปิด Properties ของ This PC จะเห็นข้อมูลอะไรบ้าง,"จะเห็นรายละเอียด เช่น รุ่นของ Windows, เวอร์ชัน, ประเภทระบบ (32-bit หรือ 64-bit), CPU และ RAM ที่ติดตั้ง"
,2.4,การปรับแต่งหน้าจอ,,,,,
,,2.4.1,การปรับแต่งหน้าจอ,,,,
,,,2.4.1.1,View,,เมนู View ใช้ทำอะไร,เมนู View ใช้ปรับการแสดงผลของไอคอนบนหน้าจอ เช่น ขนาดและรูปแบบ
,,,2.4.1.2,Sort by,,เมนู Sort by ใช้ทำอะไร,เมนู Sort by ใช้จัดเรียงไฟล์หรือโฟลเดอร์ตามชื่อ ขนาด ประเภท หรือวันที่แก้ไข
,,,2.4.1.3,Display setting,,เมนู Display setting ใช้ทำอะไร,เมนู Display setting ใช้ปรับการแสดงผล เช่น ความละเอียดหน้าจอ ขนาดตัวอักษร และการวางแนว
,,,2.4.1.4,Personalize,,เมนู Personalize ใช้ทำอะไร,เมนู Personalize ใช้ปรับแต่งหน้าจอ เช่น เปลี่ยนภาพพื้นหลัง สี ธีม และการตั้งค่าไอคอน
,,2.4.2,การจัดการไอคอนหน้าจอ,,,,
,,,2.4.2.1,ใช้เมนู View,,,
,,,,2.4.2.1.1,ปรับขนาดไอคอน,จะปรับขนาดไอคอนบนหน้าจอได้อย่างไร,"ใช้เมนู View เลือก Small, Medium หรือ Large icons"
,,,,2.4.2.1.2,กำหนดการจัดเรียงไอคอน,จะจัดเรียงไอคอนบนหน้าจอได้อย่างไร,ใช้เมนู View เลือก Auto arrange หรือ Align to grid
,,,,2.4.2.1.3,กำหนดการแสดงผลไอคอน,จะเลือกแสดงหรือซ่อนไอคอนบนหน้าจอได้อย่างไร,ใช้เมนู View → Show desktop icons
,,,2.4.2.2,ใช้เมนู Sort by,,,
,,,,2.4.2.2.1,Name,การจัดเรียงไฟล์ตาม Name คืออะไร,คือการเรียงไฟล์ตามตัวอักษรชื่อไฟล์
,,,,2.4.2.2.2,Size,การจัดเรียงไฟล์ตาม Size คืออะไร,คือการเรียงไฟล์ตามขนาดเล็กไปใหญ่หรือใหญ่ไปเล็ก
,,,,2.4.2.2.3,Item type,การจัดเรียงไฟล์ตาม Item type คืออะไร,คือการจัดเรียงไฟล์ตามชนิด เช่น เอกสาร รูปภาพ เพลง
,,,,2.4.2.2.4,Date Modified,การจัดเรียงไฟล์ตาม Date Modified คืออะไร,คือการเรียงไฟล์ตามวันที่แก้ไขล่าสุด
,,2.4.3,การปรับแต่งหน้าจอการแสดงผลด้วยเมนู Display setting,,,,
,,,2.4.3.1,ปรับแต่งขนาดตัวอักษร,,จะปรับขนาดตัวอักษรบนหน้าจอได้อย่างไร,เข้าเมนู Display setting → Scale and layout
,,,2.4.3.2,ปรับความละเอียดการแสดงผลบนจอภาพ,,จะปรับความละเอียดหน้าจอได้อย่างไร,เข้าเมนู Display setting → Display resolution
,,,2.4.3.3,ปรับการวางแนวของจอภาพ,,จะปรับการวางแนวจอภาพได้อย่างไร,เข้าเมนู Display setting → Display orientation เลือก Landscape หรือ Portrait
,,2.4.4,การเปลี่ยนภาพพื้นหลังด้วยเมนู Personalize,,,จะเปลี่ยนภาพพื้นหลังใน Windows ได้อย่างไร,"เข้าเมนู Personalize → Background แล้วเลือก Picture, Solid Color หรือ Slide Show"
,,,2.4.4.1,Background,,,
,,,,2.4.4.1.1,Picture,จะเปลี่ยนภาพพื้นหลังเป็น Picture ได้อย่างไร,เข้าเมนู Personalize → Background → เลือก Picture
,,,,2.4.4.1.2,Solid Color,จะเปลี่ยนภาพพื้นหลังเป็น Solid Color ได้อย่างไร,เข้าเมนู Personalize → Background → เลือก Solid Color
,,,,2.4.4.1.3,Slide Show,จะเปลี่ยนภาพพื้นหลังเป็น Slide Show ได้อย่างไร,เข้าเมนู Personalize → Background → เลือก Slide Show
,,,2.4.4.2,Colors,,จะปรับสีของหน้าจอ Windows ได้อย่างไร,เข้าเมนู Personalize → Colors สามารถเลือกสีหลักของระบบและปรับโหมด Light/Dark ได้
,,,2.4.4.3,Lock Screen,,จะเปลี่ยนภาพหน้าจอ Lock Screen ได้อย่างไร,เข้าเมนู Personalize → Lock Screen เลือกภาพพื้นหลังหรือกำหนดแอปที่แสดงสถานะบนหน้าจอล็อก
,,,2.4.4.4,Themes,,เมนู Themes ใช้ทำอะไร,"เมนู Themes ใช้ปรับแต่งรูปแบบการใช้งาน เช่น Background, Colors, Sounds และ Mouse cursor"
,,,2.4.4.5,Start,,จะปรับแต่งเมนู Start ได้อย่างไร,เข้าเมนู Personalize → Start สามารถเลือกแสดงหรือซ่อนแอปที่ใช้บ่อย และปรับการแสดงผลของเมนู Start
,,,2.4.4.6,Taskbar,,จะปรับแต่ง Taskbar ได้อย่างไร,"เข้าเมนู Personalize → Taskbar สามารถเลือกตำแหน่งของ Taskbar, การแสดงผลไอคอน และการจัดเรียงปุ่มต่าง ๆ"
,,2.4.5,การใช้งานโปรแกรมถนอมจอภาพด้วยเมนู Lock screen,,,วิธีเปิดใช้งานโปรแกรมถนอมจอภาพ (Screen Saver) ในเมนู Lock screen ทำอย่างไร?,การใช้โปรแกรมถนอมจอภาพสามารถทำได้โดยไปที่เมนู Personalization > Lock screen ซึ่งช่วยป้องกันการเสื่อมสภาพของจอภาพเมื่อไม่ได้ใช้งานนานๆ
,,,2.4.5.1,ขั้นตอนการใช้งานโปรแกรมถนอมจอภาพ,,บอกขั้นตอนการใช้งาน Screen Saver,1. คลิกขวาที่ Desktop เลือก Personalize 2. ไปที่ Lock screen 3. เลือก Screen saver settings 4. เลือกรูปแบบที่ต้องการและตั้งเวลา Wait แล้วกด OK
,,2.4.6,การเลือกและปรับแต่งรูปแบบการใช้งานด้วยเมนู Themes,,,เมนู Themes ใช้ทำอะไรและปรับแต่งอะไรได้บ้าง?,เมนู Themes ใช้สำหรับเลือกและปรับแต่งรูปแบบหน้าตาการใช้งาน Windows โดยรวม เช่น ภาพพื้นหลัง สี เสียง และลักษณะของเมาส์ให้เป็นชุดเดียวกัน
,,,2.4.6.1,ลักษณะการทำงานของการเลือกและปรับแต่งรูปแบบการใช้งานด้วยเมนู Theme,,,
,,,,2.4.6.1.1,การปรับ Themes ของ Background,การปรับ Themes ของ Background มีขั้นตอนอย่างไร?,"สามารถเลือกปรับได้ที่เมนู Background ภายในหน้า Themes โดยเลือกได้ทั้งแบบรูปภาพ (Picture), สีพื้น (Solid color) หรือสไลด์โชว์ (Slideshow)"
,,,,2.4.6.1.2,การปรับ Themes ของ Color,ถ้าต้องการเปลี่ยนสีเมนูหรือ Dark Mode (Themes ของ Color) ต้องทำยังไง?,เข้าไปที่เมนู Colors ในส่วนของ Themes เพื่อเลือกโทนสีสว่าง (Light) หรือมืด (Dark) และเลือกสีเน้น (Accent color) ตามที่คุณต้องการ
,,,,2.4.6.1.3,การปรับ Themes ของ Sounds,การปรับแต่งเสียง (Themes ของ Sounds) คืออะไร?,คือการปรับแต่งเสียงแจ้งเตือนของระบบในเหตุการณ์ต่างๆ เช่น เสียงเมื่อเปิดเครื่อง หรือเสียงเมื่อมีการแจ้งเตือนข้อความเข้า
,,,,2.4.6.1.4,การปรับ Themes ของ Mouse cursor,วิธีเปลี่ยนรูปแบบเมาส์ (Mouse cursor) ในเมนู Themes?,ให้คลิกที่เมนู Mouse cursor ภายใต้ Themes เพื่อเปลี่ยนรูปทรง ขนาด และสีของตัวชี้เมาส์ให้เหมาะสมกับการใช้งาน
,,,,2.4.6.1.5,การกำหนด Desktop Icon Setting ,การตั้งค่า Desktop Icon Setting คืออะไรและตั้งค่าตรงไหน,"คือการกำหนดให้ไอคอนหลักอย่าง This PC, Recycle Bin หรือ Control Panel แสดงบนหน้าจอ เข้าไปตั้งค่าได้ที่เมนู Desktop icon settings ในหน้า Themes ครับ"
,2.5,การปรับสภาพแวดล้อมทั่วไป,,,,,
,,2.5.1,การปรับวันที่และเวลา,,,,
,,,2.5.1.1,ขั้นตอนการปรับวันที่และเวลา,,ปรับวันที่และเวลาในคอมพิวเตอร์ยังไง?,ไปที่ Settings > Time & Language > Date & Time จากนั้นคุณสามารถตั้งค่าให้เป็นอัตโนมัติ (Set time automatically) หรือปรับเองได้
,,2.5.2,การปรับความดังเสียง,,,,
,,,2.5.2.1,ขั้นตอนการปรับความดังเสียง,,วิธีเพิ่มหรือลดระดับเสียงใน Windows,คลิกที่ไอคอนลำโพงบริเวณมุมขวาล่างของ Taskbar แล้วลากแถบสไลด์เพื่อปรับระดับความดังตามต้องการ
,,2.5.3,การสร้างชอร์ตคัต,,,,
,,,2.5.3.1,ขั้นตอนการสร้างชอร์ตคัต,,วิธีสร้าง Shortcut บนหน้าจอ Desktop,"คลิกขวาที่ไฟล์หรือโปรแกรมที่ต้องการ เลือก ""Show more options"" > ""Send to"" > ""Desktop (create shortcut)"""
,2.6,การเปิดโปรแกรมเพื่อใช้งาน,,,,,
,,2.6.1,ขั้นตอนการเปิดโปรแกรมเพื่อใช้งาน,,,จะเปิดใช้งานโปรแกรมต่างๆ ได้อย่างไร?,สามารถเปิดโปรแกรมได้โดยคลิกที่ปุ่ม Start แล้วพิมพ์ชื่อโปรแกรมที่ต้องการ หรือดับเบิลคลิกที่ไอคอนโปรแกรมบน Desktop
,2.7,การทำงานกับไดร์ฟ ไฟล์ และโฟลเดอร์,,,,,
,,2.7.1,การแสดงข้อมูลในโฟลเดอร์ Document,,,โฟลเดอร์ Document คืออะไร,"โฟลเดอร์ Document คือพื้นที่จัดเก็บไฟล์เอกสารของผู้ใช้ในระบบปฏิบัติการ Windows เช่น Word, Excel, PDF และไฟล์งานอื่น ๆ"
,,,2.7.1.1,ขั้นตอนการแสดงข้อมูลในโฟลเดอร์ Document,,เข้าไปดูไฟล์ในโฟลเดอร์ Document ตรงไหน?,"เปิด File Explorer ขึ้นมา แล้วเลือกเมนู ""Documents"" จากแถบเมนูด้านซ้ายเพื่อดูไฟล์เอกสาร"
,,2.7.2,การแสดงข้อมูลในไดรฟ์ต่าง ๆ,,,การแสดงข้อมูลในไดรฟ์คืออะไร,"การแสดงข้อมูลในไดรฟ์คือการเข้าถึงและดูไฟล์หรือโฟลเดอร์ที่จัดเก็บอยู่ในไดรฟ์ต่าง ๆ เช่น C, D, E เพื่อให้ผู้ใช้สามารถจัดการไฟล์ได้สะดวก"
,,,2.7.2.1,ขั้นตอนการแสดงข้อมูลในไดรฟ์ต่าง ๆ,,"วิธีดูข้อมูลในไดรฟ์ (Drive C, D) ของเครื่อง","เปิด File Explorer แล้วเลือก ""This PC"" คุณจะเห็นรายการไดรฟ์ทั้งหมดที่มีอยู่ในเครื่องคอมพิวเตอร์"
,,2.7.3,การแสดงรายการไฟล์ในรูปแบบต่าง ๆ,,,การแสดงรายการไฟล์มีรูปแบบอะไรบ้าง,"การแสดงรายการไฟล์สามารถทำได้หลายรูปแบบ เช่น แบบไอคอนใหญ่ (Large Icons), แบบไอคอนเล็ก (Small Icons), แบบรายการ (List), และแบบรายละเอียด (Details)"
,,,2.7.3.1,ขั้นตอนการแสดงรายการไฟล์ในรูปแบบต่าง ๆ,,วิธีเปลี่ยนรูปแบบการแสดงผลไฟล์ (View),"ใน File Explorer ให้คลิกเมนู ""View"" ด้านบน คุณสามารถเลือกแบบ Icons ใหญ่, รายการ (List) หรือรายละเอียด (Details)"
,,2.7.4,การจัดการไฟล์และโฟลเดอร์,,,ทำไมต้องจัดการไฟล์และโฟลเดอร์,เพราะช่วยให้ค้นหาข้อมูลได้รวดเร็ว ลดความซ้ำซ้อน และเพิ่มประสิทธิภาพในการทำงาน
,,,2.7.4.1,ความหมายของไฟล์,,ไฟล์ (File) คืออะไร,ไฟล์ คือ ข้อมูลหรือชุดคำสั่งที่เก็บอยู่ในเครื่องคอมพิวเตอร์ เช่น รูปภาพ เอกสาร หรือวิดีโอ ซึ่งจะมีนามสกุลไฟล์บอกประเภท
,,,2.7.4.2,ความหมายของโฟลเดอร์,,โฟลเดอร์ (Folder) คืออะไร?,โฟลเดอร์ คือ ที่สำหรับจัดเก็บไฟล์หรือโฟลเดอร์ย่อยอื่นๆ เพื่อความเป็นระเบียบ เปรียบเสมือนแฟ้มเก็บเอกสาร
,,,2.7.4.3,ขั้นตอนการสร้างโฟลเดอร์,,ขอขั้นตอนการสร้างโฟลเดอร์ใหม่,"คลิกขวาที่พื้นที่ว่างใน File Explorer เลือก ""New"" จากนั้นเลือก ""Folder"" แล้วพิมพ์ชื่อที่ต้องการ"
,,,2.7.4.4,ขั้นตอนการเปลี่ยนชื่อไฟล์และโฟลเดอร์,,วิธีเปลี่ยนชื่อ (Rename) ไฟล์หรือโฟลเดอร์,คลิกขวาที่ไฟล์นั้นๆ แล้วเลือกไอคอน Rename (หรือกดปุ่ม F2) จากนั้นพิมพ์ชื่อใหม่แล้วกด Enter
,,,2.7.4.5,ขั้นตอนการเลือกไฟล์และโฟลเดอร์,,"มีวิธีเลือกไฟล์หลายๆ ไฟล์พร้อมกันยังไงบ้าง?

วิธีเลือกไฟล์แบบเฉพาะเจาะจงบางไฟล์ทำยังไง?

อยากเลือกไฟล์จากลำดับที่ 1 ถึง 10 แบบเร็วๆ ทำไง","สามารถเลือกได้หลายวิธีครับ: 1. กด Ctrl+A เพื่อเลือกทั้งหมด 2. กด Shift ค้างเพื่อเลือกไฟล์ที่เรียงติดกัน หรือ 3. กด Ctrl ค้างไว้แล้วคลิกเลือกทีละไฟล์ที่ต้องการ

ให้กดปุ่ม Ctrl บนคีย์บอร์ดค้างไว้ แล้วใช้เมาส์คลิกเลือกไฟล์หรือโฟลเดอร์ที่ต้องการทีละอัน เมื่อเลือกครบแล้วจึงปล่อยปุ่ม Ctrl

ให้คลิกที่ไฟล์ลำดับที่ 1 จากนั้นกดปุ่ม Shift ค้างไว้ แล้วไปคลิกที่ไฟล์ลำดับที่ 10 ระบบจะคลุมดำเลือกไฟล์ทั้งหมดที่อยู่ระหว่างกลางให้ทันที"
,,,2.7.4.6,ขั้นตอนการคัดลอกไฟล์หรือโฟลเดอร์,,วิธีคัดลอก (Copy) ไฟล์หรือโฟลเดอร์,"คลิกขวาที่ไฟล์เลือก ""Copy"" จากนั้นไปยังที่ปลายทางแล้วคลิกขวาเลือก ""Paste"""
,,,,2.7.4.6.1,การคัดลอกไฟล์ที่มีชื่อเดียวกันอยู่ในไดรฟ์หรือโฟลเดอร์ปลายทาง,วิธีการจัดการเมื่อ Copy ไฟล์แล้วชื่อเหมือนกันในโฟลเดอร์ปลายทาง,เมื่อชื่อซ้ำ ระบบจะมีหน้าต่างแจ้งเตือน แนะนำให้เลือก 'Replace' ถ้าต้องการไฟล์ล่าสุด หรือเลือก 'Let me decide' หากต้องการเก็บทั้งสองไฟล์ไว้เพื่อตรวจสอบภายหลังค
,,,2.7.4.7,ขั้นตอนการย้ายไฟล์หรือโฟลเดอร์,,วิธีการย้าย (Move) ไฟล์ไปยังโฟลเดอร์อื่น,"คลิกขวาที่ไฟล์เลือก ""Cut"" แล้วไปที่โฟลเดอร์ปลายทาง คลิกขวาเลือก ""Paste"" ไฟล์เดิมจะหายไปย้ายมาอยู่ที่ใหม่"
,,,2.7.4.8,ขั้นตอนการลบไฟล์หรือโฟลเดอร์,,วิธีลบไฟล์ (Delete) ออกจากเครื่อง,คลิกขวาที่ไฟล์แล้วเลือกไอคอนถังขยะ (Delete) ไฟล์จะไปอยู่ใน Recycle Bin ก่อนที่จะถูกลบถาวร
,,,2.7.4.9,ขั้นตอนการค้นหาไฟล์,,คลิกขวาที่ไฟล์แล้วเลือกไอคอนถังขยะ (Delete) ไฟล์จะไปอยู่ใน Recycle Bin ก่อนที่จะถูกลบถาวร,คลิกที่ช่อง Search ใน File Explorer (มุมขวาบน) แล้วพิมพ์ชื่อไฟล์ที่ต้องการค้นหา
3,การใช้งานอินเทอร์เน็ต,,,,,,
,3.1,ความรู้ทั่วไปเกี่ยวกับอินเทอร์เน็ต,,,,นเทอร์เน็ตถูกใช้งานในชีวิตประจำวันอย่างไร,ใช้ในการค้นหาข้อมูล ส่งอีเมล ดูวิดีโอ ทำงานออนไลน์ ซื้อขายสินค้า และสื่อสารผ่านโซเชียลมีเดีย
,,3.1.1,ความหมายของอินเทอร์เน็ต,,,อินเทอร์เน็ตคืออะไร,อินเทอร์เน็ตคือเครือข่ายคอมพิวเตอร์ขนาดใหญ่ที่เชื่อมโยงกันทั่วโลกเพื่อแลกเปลี่ยนข้อมูลและสื่อสาร
,,3.1.2,วิธีการในการติดต่อบนระบบบอินเทอร์เน็ต,,,การติดต่อบนอินเทอร์เน็ตทำได้อย่างไร,การติดต่อทำได้ผ่านอีเมล โซเชียลมีเดีย เว็บไซต์ หรือโปรแกรมแชต
,,3.1.3,โปรโตคอลที่เชื่อมต่ออยู่ในอินเทอร์เน็ต,,,โปรโตคอลอินเทอร์เน็ตมีอะไรบ้าง,"เช่น TCP/IP, HTTP, HTTPS, FTP, SMTP"
,,3.1.4,ความหมายของโดเมนเนม,,,โดเมนเนมคืออะไร,โดเมนเนมคือชื่อที่ใช้แทน IP Address เพื่อให้จำง่าย เช่น google.com
,,,3.1.4.1,โดเมนเนม 2 ระดับ,,โดเมนเนม 2 ระดับคืออะไร,เช่น example.com  ประกอบด้วยชื่อโดเมนและนามสกุลโดเมน
,,,3.1.4.2,โดเมนเนม 3 ระดับ,,โดเมนเนม 3 ระดับคืออะไร,เช่น mail.example.com  มีชื่อโดเมนย่อยเพิ่มเข้ามา
,,,3.1.4.3,โดเมนเนมที่ใช้กำหนดประเภทขององค์กร,,โดเมนเนมองค์กรคืออะไร,"เช่น .edu สำหรับการศึกษา, .gov สำหรับรัฐบาล"
,,,3.1.4.4,โดเมนเนมที่เป็นชื่อประเทศ,,โดเมนเนมประเทศคืออะไร,"เช่น .th สำหรับประเทศไทย, .jp สำหรับญี่ปุ่น"
,,,3.1.4.5,ขั้นตอนการจดทะเบียนเพื่อใช้งานโดเมนเนม,,จะจดทะเบียนโดเมนเนมได้อย่างไร,เลือกชื่อโดเมน → ตรวจสอบความว่าง → ซื้อผ่านผู้ให้บริการ → กำหนด DNS
,,3.1.5,ลักษณะของการเชื่อมต่ออินเทอร์เน็ต,,,ลักษณะของการเชื่อมต่ออินเทอร์เน็ตมีอะไรบ้าง,"การเชื่อมต่ออินเทอร์เน็ตมีหลายลักษณะ เช่น การเชื่อมต่อผ่านสายโทรศัพท์ (Dial-up), การเชื่อมต่อผ่านสายเคเบิลหรือไฟเบอร์ (Broadband), การเชื่อมต่อแบบไร้สาย (Wi-Fi), และการเชื่อมต่อผ่านเครือข่ายมือถือ (Mobile Network)"
,,,3.1.5.1,การเชื่อมต่อส่วนบุคคล,,การเชื่อมต่ออินเทอร์เน็ตส่วนบุคคลคืออะไร,คือการเชื่อมต่อผ่าน Wi-Fi หรือ Mobile Data สำหรับผู้ใช้ทั่วไป
,,,3.1.5.2,การเชื่อมต่อแบบองค์กร,,การเชื่อมต่ออินเทอร์เน็ตแบบองค์กรคืออะไร,คือการเชื่อมต่อที่มีความเร็วสูงและปลอดภัย ใช้ในบริษัทหรือมหาวิทยาลัย
,,3.1.6,ความเร็วในการเชื่อมต่ออินเทอน์เน็ต,,,ความเร็วในการเชื่อมต่ออินเทอร์เน็ตคืออะไร,ความเร็วอินเทอร์เน็ตคืออัตราการรับส่งข้อมูลระหว่างอุปกรณ์ของผู้ใช้กับเครือข่ายอินเทอร์เน็ต โดยวัดเป็น Mbps (Megabits per second)
,,,3.1.6.1,ความเร็วดาวน์โหลด,,ความเร็วดาวน์โหลดคืออะไร,คือความเร็วในการรับข้อมูลจากอินเทอร์เน็ตเข้าสู่เครื่อง
,,,3.1.6.2,ความเร็วอัปโหลด,,ความเร็วอัปโหลดคืออะไร,คือความเร็วในการส่งข้อมูลจากเครื่องขึ้นไปยังอินเทอร์เน็ต
,,,3.1.6.3,การกำหนดความเร็วของผู้ให้บริการ,,ผู้ให้บริการกำหนดความเร็วอินเทอร์เน็ตอย่างไร,"กำหนดตามแพ็กเกจ เช่น 100 Mbps, 300 Mbps"
,,,3.1.6.4,ลักษณะการให้บริการของอินเทอร์เน็ตบ้าน,,อินเทอร์เน็ตบ้านมีลักษณะอย่างไร,มีความเร็วคงที่ ใช้สายไฟเบอร์หรือ DSL เหมาะกับครัวเรือน
,,,3.1.6.5,ลักษณะการให้บริการของอินเทอร์เน็ตองค์กร,,อินเทอร์เน็ตองค์กรมีลักษณะอย่างไร,มีความเร็วสูงและเสถียร พร้อมระบบรักษาความปลอดภัย
,3.2,บริการคลาวด์ในอินเทอร์เน็ต,,,,บริการคลาวด์ในอินเทอร์เน็ตคืออะไร,บริการคลาวด์ในอินเทอร์เน็ตคือการให้บริการทรัพยากรคอมพิวเตอร์ เช่น การจัดเก็บข้อมูล ซอฟต์แวร์ หรือโครงสร้างพื้นฐาน ผ่านระบบออนไลน์ โดยผู้ใช้สามารถเข้าถึงได้ทุกที่ทุกเวลา
,,3.2.1,ความแตกต่างของบริการอินเทอร์เน็ตในยุคเก่าและยุคปัจจบัน,,,อินเทอร์เน็ตยุคเก่ากับยุคใหม่ต่างกันอย่างไร,ยุคเก่าเน้นการสื่อสารข้อความ ส่วนยุคใหม่เน้นมัลติมีเดีย คลาวด์ และ IoT
,,3.2.2,ความหมายของการให้บริการคลาวด์ในอินเทอร์เน็ต,,,คลาวด์คืออะไร,คลาวด์คือการให้บริการทรัพยากรคอมพิวเตอร์ผ่านอินเทอร์เน็ต เช่น การเก็บข้อมูล
,,3.2.3,ลักษณะของการให้บริการคลาวด์ในอินเทอร์เน็ต,,,การให้บริการคลาวด์มีลักษณะอย่างไร,ให้บริการแบบออนไลน์ เข้าถึงได้ทุกที่ทุกเวลา
,,3.2.4,ความสำคัญของการให้บริการคลาวด์ในอินเทอร์เน็ต,,,คลาวด์สำคัญอย่างไร,ช่วยลดต้นทุน เพิ่มความสะดวก และรองรับการทำงานร่วมกัน
,,3.2.5,ข้อดีของของการให้บริการคลาวด์ในอินเทอร์เน็ต,,,คลาวด์มีข้อดีอะไรบ้าง,เช่น เข้าถึงง่าย ขยายระบบได้รวดเร็ว และไม่ต้องลงทุนฮาร์ดแวร์
,,3.2.6,ข้อสังเกตุของของการให้บริการคลาวด์ในอินเทอร์เน็ต,,,คลาวด์มีข้อสังเกตอะไรบ้าง,ต้องพิจารณาความปลอดภัย ความเป็นส่วนตัว และการพึ่งพาผู้ให้บริการ
